id,enumerator_id,survey_date,duration_minutes,respondent_age,household_size,monthly_income,monthly_expenditure,asset_count,currently_working,education_level,work_sector
R00074,E01,2025-04-10,34,48,2,1139,970,1,1,4,manufacturing
R00075,E01,2025-04-10,42,42,4,857,713,0,1,2,agriculture
R00076,E01,2025-04-10,31,,8,1007,831,2,1,1,agriculture
R00077,E01,2025-04-10,25,42,3,1575,982,4,1,1,agriculture
R00078,E01,2025-04-10,25,37,6,,662,0,0,2,
R00079,E01,2025-04-10,35,39,4,1247,891,,1,4,government
R00080,E01,2025-04-11,45,31,4,1355,1201,4,1,4,agriculture
R00081,E01,2025-04-11,35,64,5,,1203,2,1,1,government
R00082,E01,2025-04-11,42,39,6,890,757,,1,4,services
R00083,E01,2025-04-11,44,43,18,730,661,0,1,4,manufacturing
R00084,E01,2025-04-11,37,41,4,3654,2823,6,1,2,agriculture
R00085,E01,2025-04-11,27,59,4,1570,,3,1,1,services
R00086,E01,2025-04-11,44,47,4,1988,1966,4,1,4,retail
R00087,E01,2025-04-12,24,27,7,,525,5,0,2,
R00088,E01,2025-04-12,41,49,4,787,803,0,1,1,manufacturing
R00089,E01,2025-04-12,35,38,8,1470,,8,1,1,manufacturing
R00090,E01,2025-04-12,45,44,6,,2362,4,1,2,retail
R00091,E01,2025-04-12,55,27,7,1760,,2,1,1,government
R00092,E01,2025-04-12,46,45,4,2087,2077,4,1,3,services
R00093,E01,2025-04-12,49,52,9,1086,1144,8,1,3,manufacturing
R00094,E01,2025-04-12,39,35,6,1473,1285,4,1,2,services
R00095,E01,2025-04-12,31,38,10,716,766,1,1,1,agriculture
R00096,E01,2025-04-12,34,44,3,794,615,3,1,1,agriculture
R00097,E01,2025-04-12,25,44,7,2856,2377,6,1,3,manufacturing
R00098,E01,2025-04-12,37,32,9,,1065,5,0,1,
R00099,E01,2025-04-13,42,32,5,,1280,4,0,3,
R00100,E01,2025-04-13,45,,8,689,482,5,1,4,retail
R00101,E01,2025-04-13,,18,9,,1140,4,0,1,
R00102,E01,2025-04-13,28,31,5,1203,870,5,1,3,agriculture
R00103,E01,2025-04-13,48,25,4,,1097,4,0,2,
R00104,E01,2025-04-14,27,34,6,1409,1268,5,1,1,retail
R00105,E01,2025-04-14,37,18,9,1829,2099,8,1,3,retail
R00106,E01,2025-04-14,25,40,3,1438,1465,3,1,3,manufacturing
R00107,E01,2025-04-14,32,38,7,2107,1714,7,1,3,retail
R00108,E01,2025-04-14,48,33,6,1114,1102,5,1,1,agriculture
R00109,E01,2025-04-14,41,54,7,1000,881,4,1,3,agriculture
R00110,E01,2025-04-14,37,34,5,710,,4,1,2,services
R00111,E01,2025-04-15,50,32,9,1129,1125,3,1,4,retail
R00112,E01,2025-04-15,25,51,6,,805,5,0,1,
R00113,E01,2025-04-15,47,56,4,2811,2574,7,1,2,retail
R00114,E01,2025-04-15,55,35,7,2294,,5,1,3,retail
R00115,E01,2025-04-15,43,39,5,1196,1066,8,1,4,manufacturing
R00116,E01,2025-04-15,47,33,8,1771,1619,5,1,3,agriculture
R00117,E01,2025-04-15,30,54,3,,764,6,0,2,
R00118,E01,2025-04-15,30,44,6,1039,1010,4,1,1,services
R00119,E01,2025-04-15,34,26,9,,735,3,0,4,
R00120,E01,2025-04-15,29,18,6,,1088,0,0,2,
R00121,E01,2025-04-16,38,33,11,,1146,5,0,2,
R00122,E01,2025-04-16,34,51,11,,603,2,0,2,
R00123,E01,2025-04-16,32,18,7,,,2,0,1,
R00124,E01,2025-04-16,35,43,6,,849,5,1,3,government
R00125,E01,2025-04-16,30,48,7,,1794,,0,2,
R00126,E01,2025-04-16,29,18,5,,893,6,1,1,government
R00127,E01,2025-04-16,39,18,2,,1376,5,0,4,
R00128,E01,2025-04-16,39,62,2,1889,1858,4,1,4,services
R00129,E01,2025-04-16,,30,5,1107,907,2,1,2,manufacturing
R00130,E01,2025-04-16,41,18,3,1442,1259,1,1,2,government
R00131,E01,2025-04-16,,18,9,827,743,3,1,1,services
R00132,E01,2025-04-17,39,45,4,788,650,5,1,4,retail
R00133,E01,2025-04-17,33,12,8,1162,3291,5,1,1,agriculture
R00134,E01,2025-04-17,1,19,3,,944,8,0,3,
R00135,E01,2025-04-17,24,40,6,3531,2933,6,1,3,agriculture
R00136,E01,2025-04-17,34,41,4,1362,947,3,1,4,services
R00137,E01,2025-04-17,,45,7,,1588,5,0,3,
R00138,E01,2025-04-18,29,32,6,1407,1126,8,1,1,government
R00139,E01,2025-04-18,28,51,2,,912,0,0,2,
R00140,E01,2025-04-18,34,22,2,1441,1124,7,1,4,agriculture
R00141,E01,2025-04-18,25,33,8,3536,2733,3,1,2,services
R00142,E01,2025-04-18,43,32,4,1866,1590,6,1,3,retail
R00143,E01,2025-04-18,47,69,6,439,408,0,1,1,services
R00144,E01,2025-04-18,33,43,4,1111,1031,2,1,4,services
R00145,E01,2025-04-18,,24,7,1376,1474,0,1,3,retail
R00146,E01,2025-04-19,32,64,7,1438,1505,5,1,4,government
R00147,E01,2025-04-19,29,61,4,1128,776,5,1,2,retail
R00148,E01,2025-04-19,37,18,9,1305,1307,5,1,4,retail
R00149,E01,2025-04-19,,46,4,,1431,4,0,3,
R00150,E01,2025-04-19,31,41,9,,985,0,1,4,retail
R00151,E01,2025-04-19,35,45,1,662,12084,4,1,3,government
R00152,E01,2025-04-19,45,34,6,2485,2245,5,1,2,retail
R00153,E01,2025-04-19,37,45,4,1301,897,2,1,2,agriculture
R00154,E01,2025-04-19,34,24,4,980,977,7,1,3,agriculture
R00155,E01,2025-04-20,,53,12,,1915,5,0,2,
R00156,E01,2025-04-20,31,40,4,1504,1125,4,1,2,manufacturing
R00157,E01,2025-04-20,29,38,4,1584,1500,6,1,1,manufacturing
R00158,E01,2025-04-20,51,47,8,,1134,3,0,1,
R00159,E01,2025-04-20,42,52,8,750,692,2,1,2,government
R00160,E01,2025-04-20,22,40,9,815,513,,1,2,manufacturing
R00161,E01,2025-04-20,43,35,5,1552,1331,4,1,1,agriculture
R00162,E01,2025-04-20,37,42,2,,1110,2,0,2,
R00163,E01,2025-04-20,36,39,7,1084,936,4,1,4,agriculture
R00164,E01,2025-04-21,43,41,7,1254,1228,5,1,1,government
R00165,E01,2025-04-21,39,34,5,2069,,5,1,4,retail
R00166,E01,2025-04-21,32,18,11,,805,6,0,3,
R00167,E01,2025-04-21,26,52,5,,1055,4,0,4,
R00168,E01,,43,42,5,748,771,3,1,4,retail
R00169,E01,2025-04-22,35,54,10,784,,5,1,2,government
R00170,E01,2025-04-22,34,46,4,,1847,7,1,2,services
R00171,E01,2025-04-22,47,52,2,,2890,,0,4,
R00172,E01,2025-04-22,39,26,4,896,782,3,1,3,government
R00173,E01,2025-04-22,35,18,6,1230,602,4,1,3,manufacturing
R00174,E01,2025-04-22,8,31,5,1062,885,4,1,3,retail
R00175,E01,2025-04-22,45,21,8,1489,1519,5,1,2,manufacturing
R00176,E01,2025-04-22,36,25,4,2113,1702,4,1,2,manufacturing
R00177,E01,2025-04-22,29,31,3,3632,3833,6,1,4,services
R00178,E01,2025-04-22,35,28,6,1256,930,4,1,4,agriculture
R00179,E01,2025-04-23,34,34,2,,1314,0,1,4,government
R00180,E01,2025-04-23,36,37,8,,1272,0,0,1,
R00181,E01,2025-04-23,24,66,8,,1098,3,0,4,
R00182,E01,2025-04-23,34,43,5,2973,2982,7,1,3,services
R00183,E01,2025-04-23,48,44,5,,706,4,0,4,
R00184,E01,2025-04-23,34,,7,944,843,5,1,2,government
R00185,E01,2025-04-23,28,23,3,858,797,2,1,4,government
R00186,E01,2025-04-23,56,39,1,2029,14305,6,1,3,government
R00187,E01,2025-04-23,47,47,5,,1679,,0,4,
R00188,E01,2025-04-23,45,18,8,,1026,3,0,1,
R00189,E01,2025-04-24,25,54,10,2798,,4,0,1,
R00190,E01,2025-04-24,,62,5,949,741,,1,4,manufacturing
R00191,E01,2025-04-24,33,41,6,,520,0,0,2,
R00192,E01,2025-04-24,22,34,6,608,,2,1,4,services
R00193,E01,2025-04-24,44,56,2,1987,1403,2,1,3,services
R00194,E01,2025-04-24,43,61,1,,12381,2,0,4,
R00195,E01,2025-04-24,48,43,5,1361,3651,3,1,4,services
R00196,E01,,40,25,7,,612,5,0,4,
R00197,E01,2025-04-24,26,57,12,,2181,3,1,1,services
R00198,E01,2025-04-25,26,29,5,730,,3,1,1,agriculture
R00199,E01,2025-04-25,26,51,6,,1842,3,0,2,
R00200,E01,2025-04-25,42,30,8,1580,1763,9,1,1,retail
R00201,E01,2025-04-25,40,53,9,1398,814,6,1,2,government
R00202,E01,2025-04-25,35,48,4,669,,6,1,2,government
R00203,E01,2025-04-25,35,22,9,685,579,3,1,3,manufacturing
R00204,E01,2025-04-25,47,35,5,2193,2478,3,1,1,manufacturing
R00205,E01,2025-04-25,32,66,5,,947,5,0,1,
R00206,E01,2025-04-25,33,28,5,697,624,5,1,3,retail
R00207,E01,2025-04-25,33,33,10,,,3,1,4,government
R00208,E01,2025-04-25,15,58,4,,1080,5,0,2,
R00209,E01,2025-04-25,36,59,10,1505,1622,,1,2,agriculture
R00210,E01,2025-04-25,46,45,6,802,794,2,1,3,retail
R00211,E01,2025-04-26,21,39,5,,988,0,0,1,
R00212,E01,2025-04-26,39,31,7,1626,1350,5,1,4,services
R00213,E01,2025-04-26,38,28,10,1954,1593,2,1,3,agriculture
R00214,E01,2025-04-26,42,47,8,,692,7,0,4,
R00215,E01,2025-04-26,41,31,6,785,760,0,1,3,government
R00216,E01,2025-04-26,39,25,6,,2985,4,0,4,
R00217,E01,2025-04-26,30,51,6,569,458,4,1,3,retail
R00218,E01,2025-04-26,51,62,5,1136,1605,1,0,4,
R00219,E01,2025-04-26,33,29,8,1126,973,4,1,3,services
R00220,E01,2025-04-26,31,22,4,,1056,7,0,1,
R00221,E01,2025-04-26,35,62,11,657,686,2,1,4,manufacturing
R00222,E01,2025-04-26,42,28,6,,941,6,0,4,
R00223,E01,2025-04-27,43,39,6,996,746,4,1,4,services
R00224,E01,2025-04-27,27,43,3,1375,1334,5,1,2,services
R00225,E01,2025-04-27,44,30,7,,2458,6,0,3,
R00226,E01,2025-04-27,44,45,9,1717,1602,1,1,3,retail
R00227,E01,2025-04-27,29,61,5,3365,2443,5,1,2,agriculture
R00228,E01,2025-04-27,31,49,5,,719,6,1,4,government
R00229,E01,2025-04-27,35,46,6,2008,,3,1,2,government
R00230,E01,2025-04-27,24,,4,2849,3179,6,1,4,government
R00231,E01,2025-04-27,44,49,7,1638,918,5,0,1,
R00232,E01,2025-04-27,42,47,4,1435,1303,6,1,4,manufacturing
R00233,E01,2025-04-27,1,26,6,1278,1421,7,1,3,government
R00234,E01,2025-04-27,41,48,5,434,364,4,1,3,government
R00235,E01,2025-04-28,39,52,11,,1094,4,0,3,
R00236,E01,,43,47,9,1166,958,3,1,4,services
R00237,E01,2025-04-28,42,18,6,664,34867,2,1,2,agriculture
R00238,E01,2025-04-28,37,24,1,,464,0,0,3,
R00239,E01,2025-04-28,49,31,10,1055,942,2,1,2,manufacturing
R00240,E01,2025-04-29,37,38,5,,787,4,1,4,services
R00241,E01,2025-04-29,29,28,5,,337,3,0,3,
R00242,E01,2025-04-29,32,44,6,,2304,6,0,2,
R00243,E01,2025-04-29,36,37,6,2194,1377,8,1,3,manufacturing
R00244,E01,2025-04-29,30,47,3,890,734,0,1,2,services
R00245,E01,2025-04-29,36,25,10,1064,958,4,1,1,retail
R00246,E01,2025-04-30,32,42,5,1146,1156,3,1,2,government
R00247,E01,2025-04-30,47,43,4,428,310,0,1,1,retail
R00248,E01,2025-04-30,45,58,9,,812,4,1,4,government
R00249,E01,2025-04-30,42,57,4,1040,,2,1,1,services
R00250,E01,2025-04-30,37,30,5,,869,4,0,4,
R00251,E01,2025-04-30,23,35,2,777,486,4,1,1,government
R00252,E01,2025-04-30,53,19,7,749,748,5,1,1,manufacturing
R00253,E01,2025-04-30,31,44,10,2490,2142,,1,3,agriculture
R00254,E01,2025-04-30,38,26,2,,1025,3,0,1,
R00255,E01,2025-04-30,37,30,2,627,636,3,1,4,retail
R00256,E02,2025-04-01,39,47,4,,825,4,1,2,retail
R00257,E02,2025-04-01,41,53,7,484,586,4,1,4,services
R00258,E02,2025-04-01,36,52,6,,1587,5,0,4,
R00259,E02,2025-04-01,41,40,7,771,465,6,1,1,retail
R00260,E02,2025-04-01,54,37,5,,1202,4,0,1,
R00261,E02,2025-04-01,28,45,4,,579,4,0,2,
R00262,E02,2025-04-01,44,26,4,1847,1544,4,1,3,agriculture
R00263,E02,2025-04-01,22,23,8,1971,1574,7,1,2,retail
R00264,E02,2025-04-01,32,48,4,1134,1027,4,1,1,government
R00265,E02,2025-04-01,35,36,4,1756,1427,4,1,4,services
R00266,E02,2025-04-02,43,39,11,759,903,3,1,3,services
R00267,E02,2025-04-02,38,36,7,,806,2,0,4,
R00268,E02,2025-04-02,25,85,5,907,909,4,1,2,services
R00269,E02,2025-04-02,34,34,7,,419,3,0,2,
R00270,E02,2025-04-02,54,36,7,1751,,6,1,2,manufacturing
R00271,E02,2025-04-02,45,43,8,,1435,3,0,2,
R00272,E02,2025-04-02,30,18,6,2325,,4,1,2,services
R00273,E02,2025-04-02,,46,5,1894,1832,7,1,3,government
R00274,E02,2025-04-03,26,29,1,1053,1010,3,1,3,government
R00275,E02,2025-04-03,45,35,10,,816,2,0,4,
R00276,E02,2025-04-03,23,18,4,1317,1001,8,1,1,government
R00277,E02,2025-04-03,37,22,8,,529,1,0,3,
R00278,E02,2025-04-03,29,29,4,,498,5,1,2,retail
R00279,E02,2025-04-04,36,31,11,1097,1193,4,1,1,services
R00280,E02,2025-04-04,34,51,5,2752,1728,7,1,2,government
R00281,E02,2025-04-04,37,55,7,1161,3090,3,1,4,services
R00282,E02,2025-04-04,48,37,7,1415,5122,1,1,4,government
R00283,E02,2025-04-04,21,48,4,,1999,5,0,4,
R00284,E02,2025-04-04,25,48,9,1593,1291,6,1,3,services
R00285,E02,2025-04-04,36,24,5,628,607,7,1,2,services
R00286,E02,2025-04-04,45,,8,1992,1461,6,1,4,services
R00287,E02,2025-04-04,61,30,9,2901,2460,,1,4,retail
R00288,E02,2025-04-04,42,35,7,1276,804,6,1,1,services
R00289,E02,2025-04-04,43,18,3,2441,2115,2,1,1,government
R00290,E02,2025-04-04,37,18,8,,,2,0,1,
R00291,E02,2025-04-04,25,58,8,571,636,5,1,4,government
R00292,E02,2025-04-04,51,49,9,,779,3,1,3,retail
R00293,E02,2025-04-04,41,72,6,,666,5,0,4,
R00294,E02,2025-04-04,44,40,5,,625,5,0,2,
R00295,E02,2025-04-05,33,53,10,1717,1152,5,1,2,services
R00296,E02,2025-04-05,21,24,2,1852,1452,8,1,4,agriculture
R00297,E02,2025-04-05,28,59,5,837,494,4,1,2,manufacturing
R00298,E02,2025-04-05,39,46,5,2854,9641,2,1,1,retail
R00299,E02,2025-04-05,42,40,5,948,636,5,1,2,agriculture
R00300,E02,2025-04-06,62,50,11,1921,1833,4,1,1,manufacturing
R00301,E02,2025-04-06,30,34,7,,958,4,1,3,retail
R00302,E02,2025-04-06,29,43,5,,1757,3,0,4,
R00303,E02,2025-04-06,23,40,5,,582,4,0,4,
R00304,E02,2025-04-06,42,63,5,,,4,1,2,government
R00305,E02,2025-04-06,54,36,7,1185,3920,2,1,2,agriculture
R00306,E02,2025-04-07,28,28,6,,2069,6,1,4,services
R00307,E02,2025-04-07,31,33,3,,1405,2,0,3,
R00308,E02,2025-04-07,42,39,9,,,3,0,3,
R00309,E02,2025-04-07,44,60,4,,1398,3,0,4,
R00310,E02,2025-04-07,27,40,7,,981,2,0,4,
R00311,E02,2025-04-08,32,58,1,469,387,0,1,3,services
R00312,E02,2025-04-08,22,36,5,1449,1487,5,1,4,government
R00313,E02,2025-04-08,25,27,4,,944,4,0,2,
R00314,E02,2025-04-08,28,73,7,,2309,9,0,2,agriculture
R00315,E02,2025-04-08,43,46,7,,907,7,1,2,government
R00316,E02,2025-04-09,30,51,6,478,458,2,1,4,government
R00317,E02,2025-04-09,22,40,4,1749,1262,2,1,2,government
R00318,E02,2025-04-09,28,47,5,,1339,,0,2,
R00319,E02,2025-04-09,29,42,5,746,603,3,1,3,agriculture
R00320,E02,2025-04-09,29,47,9,,1939,2,0,4,
R00321,E02,2025-04-10,29,42,9,757,,0,1,4,agriculture
R00322,E02,2025-04-10,31,18,11,,,3,0,4,
R00323,E02,2025-04-10,50,32,10,,2071,5,0,2,
R00324,E02,2025-04-10,31,30,8,1372,1338,3,1,3,services
R00325,E02,2025-04-10,34,34,2,,1126,6,1,4,agriculture
R00326,E02,2025-04-10,37,29,8,,1317,4,0,4,
R00327,E02,2025-04-10,,47,4,,,,0,4,
R00328,E02,2025-04-11,28,50,7,,910,2,0,1,
R00329,E02,2025-04-11,33,64,11,,1197,4,1,2,services
R00330,E02,2025-04-11,30,18,8,,414,4,0,1,
R00331,E02,2025-04-11,44,27,5,,795,7,1,1,agriculture
R00332,E02,2025-04-11,38,49,8,1453,949,3,1,3,agriculture
R00333,E02,2025-04-11,41,18,4,1096,1216,8,1,1,services
R00334,E02,2025-04-12,37,43,8,1028,870,0,1,4,manufacturing
R00335,E02,2025-04-12,,27,3,767,585,6,1,4,retail
R00336,E02,2025-04-12,29,32,10,1820,1785,3,1,2,manufacturing
R00337,E02,2025-04-12,44,54,7,3007,2966,9,1,4,retail
R00338,E02,2025-04-12,50,63,4,848,716,5,1,4,retail
R00339,E02,2025-04-12,31,41,6,926,1079,,1,4,services
R00340,E02,2025-04-13,36,40,8,1748,1223,7,1,1,government
R00341,E02,2025-04-13,50,36,6,,1977,5,0,2,
R00342,E02,2025-04-13,30,46,3,657,459,2,1,3,retail
R00343,E02,2025-04-13,47,40,4,1045,,5,1,4,services
R00344,E02,2025-04-13,43,25,4,1653,1234,5,1,3,manufacturing
R00345,E02,2025-04-13,35,34,9,,1009,3,0,4,
R00346,E02,2025-04-13,42,48,8,3151,3262,5,1,4,retail
R00347,E02,2025-04-14,22,,7,1618,1582,0,1,3,services
R00348,E02,2025-04-14,48,21,4,435,395,,1,4,services
R00349,E02,2025-04-14,27,47,6,2371,1853,6,1,1,retail
R00350,E02,2025-04-14,35,51,3,,1063,3,0,3,
R00351,E02,2025-04-14,35,30,12,,1646,4,0,2,
R00352,E02,2025-04-14,43,23,6,960,654,2,1,3,manufacturing
R00353,E02,2025-04-14,33,27,2,996,620,0,1,3,manufacturing
R00354,E02,2025-04-14,52,38,8,1878,2302,3,1,1,services
R00355,E02,2025-04-14,37,44,11,,1226,5,0,1,
R00356,E02,2025-04-14,38,31,3,1184,1090,4,1,2,agriculture
R00357,E02,2025-04-14,46,35,5,,1823,7,0,3,
R00358,E02,2025-04-15,25,19,5,,1119,4,0,2,
R00359,E02,2025-04-15,31,34,5,1284,1006,4,1,3,retail
R00360,E02,2025-04-15,23,30,7,1825,1437,4,1,3,manufacturing
R00361,E02,2025-04-15,19,25,2,963,607,2,1,4,services
R00362,E02,2025-04-15,31,28,2,,,1,0,3,
R00363,E02,2025-04-15,48,30,3,,772,0,0,4,
R00364,E02,2025-04-15,,22,3,,1532,5,0,2,
R00365,E02,2025-04-15,41,34,3,,1131,7,0,2,
R00366,E02,2025-04-15,24,25,2,,785,4,0,4,
R00367,E02,2025-04-15,44,42,11,,,4,0,3,
R00368,E02,2025-04-16,31,55,3,1383,997,2,1,4,agriculture
R00369,E02,2025-04-16,44,37,4,914,878,3,1,1,government
R00370,E02,2025-04-16,32,38,2,734,828,5,1,3,retail
R00371,E02,2025-04-16,42,46,7,1275,857,1,1,3,agriculture
R00372,E02,2025-04-16,46,54,6,697,521,3,1,4,agriculture
R00373,E02,2025-04-16,52,45,9,3657,3719,8,1,3,retail
R00374,E02,2025-04-16,30,32,4,1412,949,7,1,1,government
R00375,E02,2025-04-16,31,66,7,,2743,1,0,3,
R00376,E02,2025-04-16,44,33,11,2041,1701,6,1,1,manufacturing
R00377,E02,2025-04-16,26,31,4,20634,1079,6,1,1,services
R00378,E02,2025-04-16,28,56,4,,1303,9,0,1,
R00379,E02,2025-04-16,38,20,6,782,652,4,1,2,government
R00380,E02,2025-04-16,44,48,9,929,1004,1,1,4,retail
R00381,E02,2025-04-17,50,18,4,,806,7,0,2,
R00382,E02,2025-04-17,39,27,3,,877,1,0,1,
R00383,E02,2025-04-17,21,28,2,,1336,9,0,4,
R00384,E02,2025-04-17,49,48,4,,955,4,0,3,
R00385,E02,2025-04-17,,45,4,1988,1758,0,1,3,manufacturing
R00386,E02,2025-04-17,29,40,6,626,668,3,1,2,services
R00387,E02,2025-04-17,46,52,5,921,525,0,1,3,retail
R00388,E02,2025-04-17,25,51,6,,995,4,0,3,
R00389,E02,2025-04-17,28,31,8,876,,5,1,3,manufacturing
R00390,E02,2025-04-18,31,31,4,,515,5,0,4,
R00391,E02,2025-04-18,31,35,4,1633,1257,6,1,2,retail
R00392,E02,2025-04-18,39,,8,,1056,3,0,1,
R00393,E02,2025-04-18,27,20,4,,1314,6,0,2,
R00394,E02,2025-04-18,43,39,9,,2368,5,0,2,
R00395,E02,2025-04-18,25,58,4,,1099,8,1,2,retail
R00396,E02,2025-04-19,38,32,10,583,710,6,1,2,services
R00397,E02,2025-04-19,45,33,7,,2089,,0,1,
R00398,E02,2025-04-19,59,57,3,1681,1934,,1,2,manufacturing
R00399,E02,2025-04-19,44,43,6,1093,1009,2,1,2,agriculture
R00400,E02,2025-04-19,37,26,8,1138,985,3,1,1,manufacturing
R00401,E02,2025-04-19,49,42,4,2006,1778,5,1,2,retail
R00402,E02,2025-04-19,22,40,4,628,485,,1,2,services
R00403,E02,2025-04-19,37,,10,1342,944,5,1,4,retail
R00404,E02,,33,39,4,1161,996,1,1,1,government
R00405,E02,2025-04-19,22,58,7,1566,1099,4,1,3,retail
R00406,E02,2025-04-20,44,38,9,997,,4,1,4,retail
R00407,E02,2025-04-20,32,28,5,1020,996,4,1,1,retail
R00408,E02,2025-04-20,38,51,3,2715,1830,2,1,1,agriculture
R00409,E02,2025-04-20,35,43,7,,459,4,0,4,
R00410,E02,2025-04-20,34,52,5,1891,1743,5,1,1,government
R00411,E02,2025-04-20,51,47,3,,809,5,0,4,
R00412,E02,2025-04-20,,51,2,1049,964,5,1,1,services
R00413,E02,2025-04-20,43,31,4,1482,1222,5,1,1,manufacturing
R00414,E02,2025-04-21,36,47,5,985,3406,0,1,3,government
R00415,E02,2025-04-21,36,45,2,,1138,8,0,3,
R00416,E02,2025-04-21,40,36,3,,1212,3,1,4,agriculture
R00417,E02,2025-04-21,31,33,4,,786,1,0,1,
R00418,E02,2025-04-21,47,70,9,,998,,0,2,
R00419,E02,2025-04-21,32,48,3,,451,5,1,2,government
R00420,E02,2025-04-21,38,18,5,1119,1112,6,1,4,government
